,text,tag
42,"and in this overlong thriller , these virtues do not help keep the suspense up .",neg
43,"quinlan , on the other hand , is a great actress who needs to get a role that shows off her talents .",neg
44,"five hundred characters , it seems , are introduced within the first fifteen minutes .",neg
45,"stars : armand assante ( mike hammer ) , barbara carrera ( dr .",neg
46,"contains nudity and graphic violence "" .",neg
47,it's quite touching really .,pos
48,"the only problem is , arnold has to win , so in the end , nobody really cares .",neg
49,"meg did fine as the sister who cries a lot , looking as adorable as ever , but someone please put lisa kudrow inside a permanent home of limited range , cause this woman basically is that very same character that she plays in every single movie/tv show that she's in .",neg
50,the lack of humour wasn't the only issue that i had with this film either .,neg
51,"the film couldn't be saved , no matter how much they spent or casted .",neg
52,the whole movie is really well done and looks really good and if one was to overlook the flaws in the plot and characters then this is really a movie .,neg
53,it's a tough genre to parody .,neg
54,"under richardson's lackluster direction , all jagger seemed to do , was proclaim his innocence and vow revenge , which soon became a shrill cry .",neg
55,the movie is insulting to horror film fans and teen-agers .,neg
56,"why film a movie and then look at it later and say , - no , i changed my mind , i don't like the ending .",neg
57,"it's usually a fun thing to do along with the rest of the audience , who don't seem to mind participating in a mass "" mystery science theater 3000 "" -type viewing .",neg
58,what on earth is he doing in this ?,neg
59,"as you turn the crank , you're totally aware that the damn clown is going to pop up , but somehow it's still mildly startling when it happens .",neg
60,"of course , wood's career can be explained by two things : he had no money and he had no talent .",neg
61,but it doesn't really matter .,neg
62,"and he has to be a clever rebel to do it , in scenes that stretch all levels of believability .",neg
63,"eventually , they will be hunted down during power outages and chased around during intense lightning storms .",neg
64,"( being selfish and emotionally distant may not be fulfilling , but it is a lot less work ) .",neg
65,"an attempt at a love triangle , conveyed by ari and the human daena ( estella warren , "" driven "" ) giving each other 'back off' looks over leo , fails because he never develops a relationship with either of them .",neg
66,you're being hunted by a dragon !,neg
67,kate ( jennifer aniston ) is having some problems .,neg
68,"we know they're going to happen and some , we even look forward to .",neg
69,ever see this movie ?,neg
70,"then there's mini-me ( verne troyer ) , a . . .",neg
71,"the life of the flubber had brief and rather whimsical moments where it might have been used well , but it wasn't and in the end might have done the movie more harm than good .",neg
72,"mcfarlane created a hero who was not only original but visually intricate , allowing mcfarlane to utilize his knack for artistic detail to the max .",neg
73,"his investigation starts in l . a . and finally culminates and climaxes in oklahoma , where he has a violent showdown with the killers at a white supremacist camp .",neg
74,was tom petty supposed to be playing tom petty ?,neg
75,"walken aside , there isn't a single appealing cast member .",neg
76,washington's subdued approach is part of the reason for this ; i never felt a sense of urgency .,pos
77,"not that we ever find out who that is , mind you .",neg
78,"leo unknowingly discovers a comet , and his teacher sends a photo of the unknown object to an astronomer , who then is able to determine the correct path of this distant comet in about a few seconds .",neg
79,"i even laughed out loud , genuine laughs in places .",neg
80,"instead of "" will they meet ? """,neg
81,"but jordan succeeds at what i consider the trickiest aspect of the film : he transcends the poor acting/music/effects and conveys a sense of the fantastic , of otherness .",pos
82,the story is full of very shallow characters that don't do much other than subsist .,neg
83,not even the unintentionally funny moments work .,neg
84,"she's also the few , the proud , the lucky to survive the igniting of l . a . ( as well as her dog , who narrowly survives ) .",neg
85,"there is no camp value in the film , no interesting main characters , no invigorating action scenes , no reason at all to waste your time except to ogle the hot chicks and enjoy the performances of a few supporting players .",neg
86,i can admit to smiling a few times because the babies were cute .,neg
87,"the annoying friend is played by tom arnold , who provides most of the cacophonous slapstick , none of which is funny , such as a scene where arnold beats up a costumed "" arnie the dinosaur "" ( you draw your own parallels on that one ) in a toy store .",neg
88,"worse yet , everyone's speaking late 90s hip-hop slang in what should be 1983 .",neg
89,"these scenes are all done with an eye for comedy and parody , if that's possible .",neg
90,"big momma's house is the definition of a "" gimmick "" movie if there ever was one .",neg
91,"if it was a couch , you'd put it out on the sidewalk , where it would sit for a week .",neg
92,"back home , bill and alice smoke a little pot before alice's aggressive jealousy kicks in .",neg
93,"it's certainly not the cast , which includes enough hot , young talent for several movies .",neg
94,the others are horrendous .,neg
95,"well , i admit the effects are good -- the bugs move about quite convincingly , especially when they have been deprived of a few of their limbs .",neg
96,"this isn't necessarily a good thing , since it prevents us from relaxing and enjoying an american werewolf in paris as a completely mindless , campy entertainment experience .",neg
97,is it the actors ?,neg
98,it is nothing short of stunning visually .,pos
99,&nbsp ; 3 . &nbsp ;,neg
100,"but it did manage to top the bottom five of the bottom ten , which , in simpler terms , means it comes in at number 6 on my "" worst of 1997 "" list .",neg
101,the bugs also suffer from ips : why would you release hold of your captive before killing it ?,neg
102,"when they open the trunk later , liz is dead .",neg
103,"on the granger movie gauge of 1 to 10 , "" osmosis jones "" is a wildly imaginative , original , explosive 7 .",pos
104,lawrence quickly sees just how caring and great these desert dwelling people can be and ends up rallying the various tribes together to fight the turks and help the british turn the tide of world war i .,pos
105,fun ?,neg
106,"the incompetence behind the film makes it incredibly funny , and so the viewer can get some enjoyment ( ? ! ! ? ) from the film .",neg
107,"after she wakes up , helena discovers not only that she is prisoner in cavanaugh's stylish residence , but also that cavanaugh amputated her legs in order to prevent her from escaping .",neg
108,"even at a normally trite length of ninety minutes , the film still seems like an arduous task to sit through , especially after an exhausting first hour .",pos
109,"the idea of a ship that has some sort of life within its walls , a life that knows the fears and inner skeletons of the human passengers , is a promising one .",neg
110,"begin by scribbling "" the star that burns twice as bright burns half as long "" somewhere you'll always see it , perhaps on the fridge door , or on a bedroom mirror with lipstick .",neg
111,"several differences : one , "" like water "" didn't have a telekinetic crab , and two , "" like water "" was a good film .",neg
112,"the main problem is the fact that even though these hapless bunch could be killed at any moment , and are hopelessly lost , heather still insists on filming it all .",neg
113,"there are fight scenes in this movie , so why aren't we seeing storyboards of those segments ( especially the parody moments from the matrix ) ?",neg
114,"sheriff woody ( voiced by a note-perfect tom hanks ) , the longtime favorite among andy's toys who was challenged in the previous go-round by the arrival of flashy-new-thing action figure buzz lightyear ( tim allen ) , suffers an injury early in the film , when andy tugs too hard on his arm and pulls a seam apart , revealing the stuffing inside .",pos
115,""" the sculptress "" is a scary proposition all right , but not in the way its producers intended .",neg
116,or substance .,neg
117,"to help out , the film is packed full of cameos .",neg
118,it would have been easy to have made the same movie again with a new group of kids .,neg
119,this is a shame because the film features an outstanding performance by nick nolte .,neg
120,"by this point , trois shows itself to be a soap opera without the requisite melodrama : a fatal attraction without the social significance .",neg
121,"plot wise , there are not really anything to shout about .",pos
122,"despite his outward appearance , jermaine reveals himself as selfish and covetous of his wife more as a possession than a person .",neg
123,shue's character is supposed to be a savvy schemer but she comes off as a brainless bimbo .,neg
124,_vampires_ lacks even cheap thrills to mask its gossamer-thin plot .,neg
125,"we know very little about norris' character while , on the other hand , gangsters are portrayed with more human dimension .",neg
126,it is the beginning of a game of one-upmanship in which greg is nearly always one-down .,neg
127,"last year , the benevolent studio gods gave us digimon , and this year , they bestow max keeble's big move on delighted moviegoers across the country .",neg
128,the whole movie is therefore seriously undermined because the key point in the plot is never credible .,neg
129,"synopsis : nice girl susanne has sex with her boyfriend daniel in his car , visits daniel's rich family during thanksgiving at their mansion in the middle of nowhere , and has sex with daniel again in the basement .",neg
130,"as boogie nights opens , he's toiling as a dishwasher in a trendy san fernando valley nightclub , and living at home under the thumb of a tyrannical mother who denigrates him at every opportunity .",pos
131,i reccemond it strongly .,neg
132,"the year is 1985 , letting the whole film obsess with 80s nostalgia .",neg
133,"garofalo comes to the small ireland town during the annual matchmaking festival , during which lonely folks from around the county pair off into a future of bliss .",neg
134,"it's also one of those pointless , almost plotless movies with hardly any laughs .",neg
135,i don+t like it when the filmmakers deviate from the question .,neg
136,"jim's addiction to the drug starts him on a downhill spiral , as he is kicked off the basketball team by his coach ( bruno kirby ) , kicked out of his home by his mother ( lorraine bracco ) , and drops out of school .",neg
137,"her reactions are all wrong , almost always out of sync with her co-stars .",neg
138,* = poor show .,neg
139,"later on , patch makes a lot of progress : he helps a dying patient ( peter coyote ) to enjoy the last days of his life , and the music as patch is pushing the patient recklessly through the halls of the hospital is very lively .",neg
140,"if signs & wonders sometimes feels overloaded with ideas , at least it's willing to stretch beyond what we've come to expect from traditional drama .",neg
141,capsule : one of the ten worst movies ever made .,neg
142,"tv fans might want to check out courtney cox ( monica in friends ) and robert duncan mcneill ( lt paris in star trek : voyager ) , very early in their careers and not doing to well in them either .",neg
143,"your shirt , man ! )",neg
144,it fails to be funny .,neg
145,capsule : the running gag pair of characters from all of kevin smith's films gets their own movie .,neg
146,"i think rock is a great comic yet he hasn't been able to bring his feral intelligence to movies , whenever he acts , and no matter the part , it's like he's doing the damn chris rock show .",neg
147,sue tells rachel that her telekinesis is a genetic disease .,neg
148,"in girl 6 , though , he seems to be floundering .",neg
149,"enter nurse audrey ( marsha mason ) , who takes the dog and teddy for a ride .",neg
150,"the major problem with "" town and country "" is that it's unstructured and random .",neg
151,does she just leave the toolbox at the door when no one answers ?,neg
152,"can kids really admire a hero so goody-two-shoes that he screams "" hey !",neg
153,the jokes were not funny for a number of reasons .,neg
154,"director luis mandoki's last film was the superb , serious 1994 drama "" when a man loves a woman , "" but his luck has ultimately run out with his latest picture , "" message in a bottle , "" which is the worst type of romance , a movie that tugs so relentlessly and violently at the heartstrings that it miraculously manages to dry out your eyes rather than tear them up .",neg
155,"cloris leachman , as with ryan and matthau , makes a small , but noticeable impression with her , albeit , very brief appearance , while edie mcclurg , as a rosy-cheeked woman lou had an affair with in the christmas 1988 flashback , manages one of the few laughs in this otherwise joyless production .",neg
156,"secondly , a cheesy soundtrack tries to connote a tone of mystery , but only succeeds in drowning our ears with an abrasive musical score .",neg
157,"arguments for both sides are intelligent , solid , and thought-provoking .",pos
158,the entire job selection process is completely ridiculous .,neg
159,perhaps the fact that more of carrey's humorous side comes out during these scenes is what makes them so funny .,pos
160,"for a guy like me who grew up watching arnold schwarzenegger at his best , it's extremely disconcerting to see where the big man has ended up .",neg
161,"far from trying to sell the product , g instead blathers on about how you don't even need the thing .",neg
162,"but greg is determined to win him over , and it's this desire that fuels the movie .",pos
163,"but who cares , the movie has a sort of swashbuckling quality to it you can't get from , oh , say , godzilla or armageddon .",pos
164,"in the james bond film "" diamonds are forever , "" tiffany case asks 007 whether he prefers brunettes to redheads .",neg
165,don't get me wrong though . . .,neg
166,it's not like the kid ( or anyone else for that matter ) knew he was cracking a government super-cypher .,neg
167,c -- $2 . 50 .,neg
168,"for a horror movie , "" texas chainsaw massacre : the next generation "" contains surprisingly little gore .",neg
169,"as for avital , an israeli actress , she is warm and sweet , but we don't know anything about her character other than that it takes her an incredibly long time to realize the most obvious things .",neg
170,"if that sounds complicated , it is .",neg
171,"filmed in southern france , the scenery , sets and costumes are spectacular , but the lighting is too dark and editing is filled with choppy , restless mtv'ish cuts .",neg
172,"there is enough shocking death , graphic gore , and requisite black humor to provide the essential "" roller coaster "" type thrill at the heart of the average horror flick .",neg
173,constantly .,neg
174,"sorry about the segue , or lack thereof .",pos
175,the soldiers and their commanders are consistently idiotic .,neg
176,maybe that's the point .,neg
177,bumpy's reign is not as restrained and subdued as the queen and he declares all out war on dutch .,neg
178,"annie can't take the grief anymore , and kills herself .",neg
179,"apparently the disease sessions help them see what life is like , literally living in pain .",neg
180,"the secrets behind the girl's mysterious death are explained gradually , but by the resolution we have tunneled through so much malarkey that it feels unnecessary and surprisingly silly .",neg
181,isn't this supposed to be a parody film of horror movies ? ! ?,neg
182,"palmetto pulls out all the stops to achieve a film noir film , but the effect never quite comes together .",neg
183,"most of the sex and violence scenes come off as silly , while the heavy drug use comes off as ridiculous and depressing .",neg
184,my prescription ?,neg
185,"i personally believe that sandler is probably a very talented comedian , it's just that so far he hasn't been able to find the right film to showcase his talents .",neg
186,what planet are you from ?,pos
187,"the cops in this movie are will smith and martin lawrence , and the bad guy is the immensely underutilized tcheky karyo .",neg
188,"in a lightweight comedy , you might say , it is not required to have perfectly realized figures , just as long as they get the job done .",neg
189,"oh , he can also rip body parts off , allowing for many scenes of fake hands and arms being thrown around .",neg
190,this was as wrong as you can get without going to jail .,neg
191,"a more accurate summary would be "" jean-claude van damme bums around hong kong failing to avoid large , blatant coca-cola product placements . """,neg
192,"finally , "" virus "" isn't scary .",neg
193,he's the man responsible for classic political thrillers like the manchurian candidate and seven days in may .,neg
194,"synopsis : the president of a company wants to test his self-appointed successor , who's psychotic , and thinks it's a great idea to spend a week with him and their wives in an isolated cabin a hundred miles from civilization with no dependable transportation or means of communication after a heavy snowfall .",neg
195,keep that man away from the knife drawer ! ),neg
196,"not so much anymore , but . . . """,neg
197,""" yeah ! ! !",neg
198,but the script by jim herzfeld and john hamburg is a little too contrived .,neg
199,"it's merely that with osmosis jones , the farrellys humor is too juvenile , too predictable .",neg
200,"it also feels like its been cut to pieces , clocking in at 90 minutes and forgetting to close some of its own subplots .",neg
201,"boy , was i wrong !",neg
202,bowfinger is a good movie about the making of a very bad one .,pos
203,"the problem is , of course , that there aren't many good roles available for black women .",neg
204,"it's an entertaining movie that offers both insight and excitement into the rock-em , sock-em profession of pro football .",neg
205,"the final sequence is touching and appropriate , though i won't give it away , i will say that very few will be disappointed .",pos
206,there are also a few obviously improvised lines that are fresher than anything that's on the page .,neg
207,"why heroize the most demonic institution in america , the u . s . postal system ?",neg
208,"shao khan has decided that he's going to take over the earth * anyways * , and to hell with some silly rule about mortals winning the tournament .",neg
209,there are certain genres that just don't go together .,neg
210,hence the title .,neg
211,"voices . . . . . trey parker , matt stone , george clooney , minnie driver .",pos
212,"when you get to the last half-hour , the movie has descended metaphorically and literally into a wet sewer , busting out the old break-into-the-building underground climax .",neg
213,"everything from big egos , to booze and drugs to free flowing sex sends them on a downward spiral .",neg
214,"well , by hulking around the desert in an enormous , mechanical tarantula , of course .",neg
215,"as it turns out , the dead priest had been working on the translation of a "" fifth gospel "" before they were excommunicated .",neg
216,"the problem is , paltrow is married to stephen ( douglas ) , who is not too happy when he discovers this affair .",neg
217,"passing the cafeteria on the way , can i get anybody anything ? """,neg
218,"boyum attempts to keep the pace moving by staging stunts , stunts and more stunts .",neg
219,"someone regurgitate half-digested bits of food and cherry pits all over rooms , people , the screen , and ultimately , the audience .",neg
220,the writers and producers took a butcher knife and chop-chopped into the story .,neg
221,"in retaliation , she bites off part of his finger .",neg
222,"compared to "" seven , "" though , the game is light and comical .",pos
223,this film from the seattle international film festival 2001's emerging masters series is easily one of the year's worst .,neg
224,"however , william wallace was also surrounded by enemies and some of them were closer than he thought .",pos
225,well there's really nothing much to sum up here .,neg
226,"and so , yada yada yada , they reveal the comet to the public and their plans : send a massive spacecraft out to destroy it before it can arrive .",neg
227,it stars mark hamill -- luke skywalker himself from that terrific star wars trilogy .,neg
228,"because there would be no movie , that+s why .",neg
229,the film shows us two separate versions of the possible rape ( one where it is consensual the other where it is not ) and in both versions the young actress playing the possible victim gets her shirt torn off .,neg
230,"arnold chooses to save the girl and kick the hell out of satan , if you'll pardon the expression .",neg
231,"then again , i don't want it to seem like i'm complaining solely about the story which was completely foreseeable , since we all go to see these movies for the action anyway , not the story .",neg
232,this is the man that starred in films such as apocalypse now and wall street .,neg
233,"people such as indie actors parker posey and nicky katt , alternative rock stars skinny puppy and perry farrel , hollywood madam heidi fleiss , christopher "" peter brady "" mcknight , amanda bearse , and margaret cho all grace the screen for a matter of seconds , then disappear so that we can return to the annoying main plot line .",neg
234,his assistant is named gene .,neg
235,nothing that you can't get from any cop film .,neg
236,"craven and company promise that this is the last installment in the "" scream "" series .",neg
237,"singh is best known for directing music videos , particularly rem's "" losing my religion , "" and "" the cell "" seems very much like a really long , really slow mtv video with the sound deleted .",neg
238,-- curtis edmonds,neg
239,"he also chases cats , urinates to mark his territory , or growls at his enemies .",neg
240,because no one demanded it : david duchovny in a romantic comedy !,neg
241,"still besieged by nightmarish memories of the man responsible for it all , she seems to be on the verge of a nervous breakdown .",neg
242,"you know , standard kid movie material .",neg
243,"a few things about the story didn't sit very well with me for example the original scam and cover-up heavily involved the character played by sharon stone , yet in the end her character played a relatively small role and it seems she should have been utilized more to further the story along better .",neg
244,the weak script is a waste of a talented cast .,neg
245,"it is the first time i ever felt any compassion for a character created by arraki , and this can be attributed to the appealing performance of lassez .",neg
246,"her gardener and handyman , matthew ( ferguson ) , decides to stay on with her , despite his last check bouncing .",neg
247,"julie , like a good horror heroine , never does up her shirt to the collar , always wears white in the rain , and keeps sexy underwear on in case of a sudden desire to tan .",neg
248,"the father of her child is dead , the victim of a severe heart attack brought on by sadistic torture from his two stepsons - these flyboys scared him with their low-flying helicopter .",neg
249,"she appears unbilled , since it is just a cameo , but why did she even agree to do it in the first place ?",neg
250,"despite my original hopefulness , milla jovovich is not going to have to worry about thanking the academy .",neg
251,the trailer for the phantom menace was certainly the best part of the movie experience i had tonight .,neg
252,you will be able to determine the quality of the film by examining the opening scene .,neg
253,"also , the performances , apart from douglas , are below par .",neg
254,"drawing elements from both the puppet masters and invasion of the body snatchers , screenwriter kevin williamson ( of scream 2 credit ) gives us a horror tale set in middle america ( ohio ) one eventful fall .",neg
255,"i mean , isn't that devil's den ?",neg
256,whatever neat mesh the screenwriter wanted to create between the two stories failed miserably .,neg
257,"while `total' was written well , `starship' is purely pathetic .",neg
258,"a satanic cult wants the girl to switch over to their side , while the girl's aunt wants to . . . well ,",neg
259,the audience doesn't necessarily laugh but groan ( the type of groan that suggests the audience can't believe they're watching this crap -- although watching it they are ) .,neg
260,from : noraruth@aol . com,neg
261,"for the youngest of children ( ages 3-7 ) , "" the rugrats movie , "" may very well entertain them , judging from the audience i saw this with .",neg
262,"they take off in a rental car for the ceremony in san molina , get lost and have a series of "" wacky "" adventures on the road .",neg
263,"he was so contrary and pig-headed in the beginning , you just wanted to smack him .",neg
264,"the bad guys are darth maul and darth sidious , neither of whom have enough lines to register as characters .",neg
265,"from there , we are subjected to bodily function humor and just about every bad "" dick "" joke one can derive from this type of supposed comedy .",neg
266,"woo certainly knows how to make each set piece energetic , but they remain individual set pieces never connecting to form anything more than splices of beer commercial-like visuals .",neg
267,"recycling old films ( "" that darned cat "" , "" 101 dalmatians "" ) dressed up as new is the newest money machine from the home of the mouse that roared .",neg
268,"who knows , eh ?",neg
269,"but overall , who cares ?",neg
270,it's all very routine and uninteresting because there aren't any real characters and the plot only occasionally makes sense .,neg
271,"as mentioned before , the interaction between the bookseller and the older man is generally pretty good .",neg
272,"the story takes place in a renaissance setting ; in france , with leonardo da vinci providing some comic relief on more than one occasion .",pos
273,the film starts exactly eighteen years after the first one ended .,neg
274,the manipulative script has her hidden in her own dollhouse .,neg
275,remarkably unremarkable .,pos
276,"mickey rourke co-stars as one of these characters , a sort of crime boss who has something to do with running a porno web site and blackmailing a young internet tycoon ( played by alan cummings looking and acting a lot like pee wee herman ) .",neg
277,"doesn't sound too unreasonable to me , considering the genre .",pos
278,"this is apparently the first star trek film to utilize computer animation , and the result is very pleasing to the eye : particularly in the climactic scenes , in which the son'a employ a giant space ship to suck up the rings of the ba'ku planet , the special effects have a clean , impressively sharp look .",pos
279,"that film , too , was a road movie and it shares the same kind of wry dialogue and humorous situations as mcpherson's tale : whimsical observations on life , carefully-crafted vignettes , deadpan conversational asides , and scenes that'll make you laugh out loud .",pos
280,"then , the song choices are totally uninspired .",neg
281,"upon her return , theresa shares it with her best friend lina ( illeana douglas ) , her boss charlie ( robbie coltrane ) , and the entire city of chicago ( the newspaper publishes an article about it ) .",neg
282,the result is a character whose actions feel less like the authentic responses of an anguished man than the machinations of a high-concept movie plot .,neg
283,somewhat newer but also unimpressive are the cgi digital decapitations in some of the fights .,neg
284,"it's tough to really say something nice about a type of person who's so ethnocentric that any humanity they once had is now gone , but by god , "" american history x "" does it , and for that , i commend it .",pos
285,i usually enjoy snipes' movies - though his dramatic roles better show off his creativity as an actor than the flashiness of his action films .,neg
286,"to amplify this point , spielberg presents many scenes from the africans' point-of-view , detailing their occasionally-humorous observations about some of the white man's seemingly-strange "" rituals "" .",pos
287,"once again , it's up to ace to save the day , using his uncanny detective skills .",neg
288,"fetch me the axe ! ! """,neg
289,"the rest of the "" twin peaks "" cast is nowhere to be seen , and consequently , lynch fails to recreate the spirit and flavor of tv's most enigmatic town .",neg
290,"his latest picture is therefore visually impressive , but intellectually hollow .",neg
291,"hopefully , liam neeson can rebound and get into a good film and be used to his full potential .",neg
292,what am i talking about ?,neg
293,fiennes fares even less well .,neg
294,it is obvious that joe hates his job .,neg
295,he chooses now to go clean and suffer through dt .,neg
296,"more importantly , it could have been moving on a level far deeper than it is .",neg
297,"despite magnolia's needlessly long running time and its propensity for uneven editing as anderson plays the auteur , showing off fro the masses , i have to admire his guts .",pos
298,"less successful is davis , whose strident elizabeth comes across as overly cartoonish .",pos
299,"the appeal of the project for its stars and its director , robert benton , is nostalgia .",neg
300,""" so , are we all going to die ? """,neg
301,at least that would be the case if jimmy weren't already a world-class altruist .,neg
302,"in this scenario , max's illness could have been a integral part of the film not a story motivator .",neg
303,"even when he does grab it he seems unsure how to hold it , going so far as to actually wonder if he should place a finger near the trigger .",neg
304,"movie reviewers have an obligation to see the good , the bad , and the despicable .",neg
305,"ooooh , thanks , mr . fleder . . . i",neg
306,"the sets and scenery are gorgeous , but the camerawork does nothing to convey its grandeur .",neg
307,it is not a great plot .,neg
308,"swingers , then , is funny , but it does have some flaws .",pos
309,but is billy getting it on with lucy ( dianne steinberg ) ?,neg
310,rated r .,neg
311,"actually , i'm not sure what frankie was posessed by .",neg
312,"as he swims and boats his way through huntingburg's roads , he encounters some of the locals : karen ( minnie driver ) , a would-be love interest ; a bickering old couple ( richard dysart and betty white ) , who are on hand to provide comic relief ; and the easily-corrupted sheriff ( randy quaid ) , whose seeming helpfulness hides sinister ulterior motives .",neg
313,"there are other wonderful minor characters such as ciro popitti's ben , a friend of lucas , whose diminutive stature does not mean he will take crap from the jocks .",pos
314,( why the caravan happened to be cruising by maximus' place is never explained . ),pos
315,"the biggest change is that , with sophisticated computer animation , we now can have films show off special effects without being at all entertaining .",neg
316,yes . &nbsp ;,neg
317,the time is not right for this type of movie .,neg
318,"king of new york and body snatchers notwithstanding ( and bad lieutenant is only fit for a single , emotive viewing ) , his exploitation flicks have fallen into a rut of hoary art-house trappings .",neg
319,,neg
320,"the actors do their best , but are hamstrung by the weak material .",neg
321,"the sphere itself is impressive , and there's a few nice special effect shots , but where the $100 million went is anyone's guess .",neg
322,"after thousands of headless productions , this theme has become one big clich ? .",neg
323,"when gary oldman easily reprograms will's pet robot to kill the robinsons , my friend summed it up perfectly : "" he flipped the switch to 'evil . ' """,neg
324,it is rated r for violence and would be fine for teenagers .,neg
325,how is that possible ?,neg
326,"it could be maddening to endure a film whose central protagonist is so oblivious of the ongoing blatant manipulation , but fortunately this is not the case in the winner , if only because our sadsack hero is such a sap ; not even remotely sympathetic or compelling , it becomes impossible to root for philip or even care about his fate , and the would-be swindlers of philip's fortunes are all drawn out as such ludicrous , transparent buffoons with entirely unimaginative and uninteresting schemes that one watches the winner with a complete sense of disinterest .",neg
327,"in 1983 she won the miss malaysia pageant - - without really intending to , since a family member had entered her in the contest without her knowledge .",pos
328,"gord brody ( tom green ) is an aspiring animator approaching thirty who still lives in parents jim ( rip torn ) and julie's ( julie hagerty , "" airplane "" ) basement .",neg
329,"generations opens in the late 23rd century , where members of the original enterprise crew , including captain james t . kirk ( william shatner ) , are present for the christening of the latest ship to bear that name .",neg
330,"the script isn't just "" dumbed down , "" it's lobotomized .",neg
331,"however , if you've seen any of these , than you have seen most of this film .",neg
332,"mother has a series of setbacks , like being dumped by her dream-boat dentist ( bochner ) she met on the beach , and witnessing her daughter mimic her whiny optimistic sayings when trying out for an acting part .",neg
333,"then , there's moore ( leland orser ) who speaks 5 lines and walks around with a puzzled look on his face .",neg
334,it is this emotional force that carries the film .,pos
335,"i mean , why the emphasis on extra-curricular activities if the entire job is going to come down to a single-elimination quiz anyhow ?",neg
336,""" mystery men "" fails in every category it attempts to pass .",neg
337,"the third member of this anti-family is jane burnham ( thora birch ) , lester and carolyn's daughter .",pos
338,"jimmie's grandfather ( peter ustinov , completely wasted ) dies and leaves jimmie his entire estate of 100 million dollars as well as ownership of the pool table business .",neg
339,"barrymore's josie geller , at 25 the youngest copy editor ever to be hired by the chicago sun-times , is assigned to go undercover and return to high school to do an expose on what today's teens are feeling and doing .",neg
